### 0
1.0005395024292834,1.000228766953486,1.5510370448930642e-14,0.019168117201857484
z_depth_cm,e_CCE_HV,h_CCE_HV,e_CCE_LV,h_CCE_LV
-0.41808070080000004,0.9970699584592144,0.9999913142002156,0.9998858572615316,0.9992162953172206
-0.40764826367999996,0.9971046072507552,0.9999912197893484,0.9998890672310172,0.9991908043806648
-0.39721582656,0.9971401057401812,0.9999907477350124,0.999892466022237,0.9991648413897282
-0.38678338944,0.9971729607250756,0.9999904645024108,0.9998953927591208,0.9991373678247734
-0.37635095232000004,0.9972077039274926,0.9999904645024108,0.999896336867793,0.9991106495468278
-0.3659185152,0.9972418806646526,0.9999903700915436,0.999899358015544,0.9990840256797584
-0.35548607808000005,0.9972753965256798,0.9999902756806764,0.9999042673806396,0.9990585347432024
-0.34505364095999996,0.9973093844410876,0.9999898036263404,0.9999052114893116,0.999032005287009
-0.33462120384,0.9973419561933534,0.9999895203937386,0.9999082326370626,0.9990053814199396
-0.32418876672,0.9973758496978852,0.9999875377655272,0.9999112537848136,0.998978663141994
-0.3137563296,0.9974084214501512,0.9999875377655272,0.9999142749325648,0.9989532666163142
-0.30332389248,0.9974413708459214,0.9999869713003235,0.999915313452104,0.998927398036254
-0.29289145536000005,0.9974736593655588,0.999986688067722,0.9999181457781208,0.9989008685800604
-0.28245901823999997,0.9975053814199396,0.999986688067722,0.99992088369327,0.998874244712991
-0.27202658112,0.9975388972809668,0.9999846110286432,0.999923432786685,0.9988489425981874
-0.26159414400000003,0.9975699584592146,0.99998404456344,0.99992428248449,0.9988230740181268
-0.25116170687999995,0.9976019637462236,0.9999837613308382,0.9999270203996394,0.9987965445619336
-0.24072926976,0.9976345354984892,0.999981873113494,0.9999278700974444,0.9987703927492448
-0.23029683264000003,0.9976650302114805,0.9999817787026268,0.999930796834328,0.9987458459214502
-0.21986439551999998,0.9976962802114804,0.9999812122374232,0.9999335347494774,0.9987193164652568
-0.2094319584,0.9977283799093656,0.9999809290048216,0.9999342900364152,0.9986935422960724
-0.19899952128,0.9977595354984896,0.9999808345939544,0.9999370279515646,0.9986684290030212
-0.18856708415999995,0.9977895581570996,0.9999803625396184,0.9999393882232452,0.9986428436555892
-0.17813464703999998,0.9978207137462236,0.9999799848961496,0.999941087618855,0.9986167862537764
-0.16770220992,0.9978518693353474,0.999978002267938,0.9999429758361996,0.9985913897280968
-0.15726977279999996,0.9978817975830816,0.999978002267938,0.9999437311231372,0.9985663708459216
-0.14683733568,0.997912009063444,0.999977246981,0.9999460913948176,0.9985400302114804
-0.13640489856000002,0.9979420317220544,0.9999751699419211,0.9999468466817554,0.9985142560422962
-0.12597246143999996,0.997972243202417,0.999975075531054,0.9999494901860376,0.9984902756797585
-0.11554002431999999,0.9980030211480364,0.9999743202441164,0.9999517560468508,0.9984640294561932
-0.10510758720000002,0.9980324773413896,0.9999723376159048,0.9999525113337884,0.9984383496978853
-0.09467515007999996,0.9980621223564956,0.9999717711507012,0.9999532666207264,0.9984142749244712
-0.08424271296,0.9980910120845922,0.9999713935072324,0.9999554380706724,0.9983882175226586
-0.07381027584000002,0.998120751510574,0.9999713935072324,0.99995619335761,0.998363670694864
-0.06337783871999995,0.9981495468277946,0.9999708270420292,0.9999584592184234,0.9983385574018128
-0.05294540159999998,0.9981783421450152,0.9999704493985604,0.999959120094494,0.9983126888217524
-0.04251296448000001,0.998207326283988,0.9999684667703486,0.99996129154444,0.9982881419939578
-0.03208052735999995,0.9982360271903324,0.9999677114834108,0.9999620468313778,0.998262839879154
-0.02164809023999998,0.9982652945619336,0.9999656344443322,0.9999622356531124,0.9982374433534744
-0.01121565312000001,0.9982938066465256,0.9999650679791288,0.99996299094005,0.9982132741691844
-0.00078321599999995,0.9983223187311178,0.9999647847465272,0.9999650679791288,0.998187594410876
0.00964922112000001,0.9983503587613292,0.9999628021183156,0.9999658232660666,0.9981620090634442
0.020081658239999987,0.9983783043806648,0.9999619524205106,0.999967805894278,0.9981385951661632
0.03051409536000005,0.9984066276435044,0.9999618580096432,0.9999684667703486,0.9981126321752266
0.04094653247999993,0.9984348564954684,0.99996129154444,0.999970354987693,0.9980882741691844
0.05137896959999999,0.998462990936556,0.9999593089162284,0.9999712990963652,0.9980633496978852
0.06181140672000005,0.9984911253776436,0.9999584592184234,0.9999714879180998,0.9980380475830816
0.07224384383999993,0.99851831570997,0.9999581759858218,0.9999717711507012,0.9980145392749245
0.08267628095999999,0.9985459780966768,0.9999555324815396,0.9999723376159048,0.9979888595166164
0.09310871808000004,0.9985735460725076,0.9999550604272036,0.9999744146549836,0.9979643126888218
0.10354115519999992,0.9986010196374624,0.9999527945663902,0.999974603476718,0.9979398602719032
