# A_HV,A_LV,B,C 
1.0009264205609762,1.00084829470918,1.288689028046797,0.3010529785474152
# z_depth_cm,e_CCE_HV,h_CCE_HV,e_CCE_LV,h_CCE_LV
0.37,0.9993659311083584,0.9999185234138972,0.9999915030219504,0.9974491508357388
0.38,0.999387551384741,0.9999172960725076,0.9999933912392946,0.9974290408767488
0.39,0.9994081331325636,0.999914746978852,0.9999935800610292,0.9974076091364172
0.4,0.9994276763518268,0.9999143693353476,0.9999935800610292,0.997385799744273
0.41,0.9994475972178388,0.9999116314199396,0.9999941465262324,0.9973654065464244
0.42000000000000004,0.9994672348487889,0.9999106873111784,0.9999941465262324,0.9973447301097164
0.43,0.9994872501264882,0.9999078549848942,0.9999943353479668,0.9973246201507264
0.44000000000000006,0.999506415699002,0.9999052114803626,0.9999943353479668,0.9973034716492536
0.45,0.9995258645065777,0.9999043617824774,0.9999962235653111,0.9972815678441568
0.45999999999999996,0.9995450300790916,0.9999015294561934,0.9999963179761784,0.997261741124026
0.47000000000000003,0.999564101239918,0.9998989803625378,0.9999964123870456,0.997241159100271
0.48,0.9995831724007448,0.999896336858006,0.9999965067979129,0.9972206714894692
0.49000000000000005,0.9996022435615716,0.9998952983383684,0.999996978852249,0.9972009391822914
0.5,0.9996211258990236,0.9998923716012084,0.999996978852249,0.9971795074419594
0.51,0.9996401026481628,0.9998890672205438,0.999996978852249,0.9971578868757216
0.52,0.999658984985615,0.9998860460725076,0.9999971676739834,0.9971380601555908
0.53,0.9996773952646308,0.999885101963746,0.9999971676739834,0.9971175725447888
0.54,0.9996957111319592,0.9998821752265862,0.9999981117826556,0.997096990521034
0.55,0.999714121410975,0.9998773602719034,0.9999990558913278,0.997077258213856
0.5599999999999999,0.9997316819848056,0.9998757552870092,0.999999150302195,0.9970560152994304
0.5700000000000001,0.9997500922638216,0.9998726397280968,0.9999992447130622,0.9970343947331924
0.58,0.9997674640142772,0.9998674471299092,0.9999992447130622,0.9970146624260146
0.5900000000000001,0.9997830419426754,0.9998658421450152,0.9999993391239296,0.9969942692281656
0.6,0.9998008857515676,0.9998605551359516,0.9999993391239296,0.99697397044327
0.61,0.9998173133851508,0.9998573451661632,0.9999998111782656,0.996954049310186
0.62,0.9998351571940431,0.999853663141994,0.9999998111782656,0.9969334672864312
0.63,0.9998495077705069,0.999847998489426,0.9999998111782656,0.9969120355460992
0.64,0.9998661242274646,0.9998442220543808,0.9999998111782656,0.9968916423482505
0.65,0.9998827406844224,0.9998384629909366,0.9999999055891328,0.9968720044540256
0.6599999999999999,0.9998965247907624,0.999834592145015,1.0,0.9968516112561766
0.67,0.9999117250724114,0.999828077794562,1.0,0.9968314068842338
0.6799999999999999,0.9999250371203152,0.9998212802114804,1.0,0.996811391338197
0.6900000000000001,0.9999396709318406,0.9998156155589124,1.0,0.996791186966254
0.7,0.9999515668044354,0.9998088179758308,1.0,0.996769755225922
0.71,0.9999628962069066,0.9998000377643504,1.0,0.9967493620280732
0.72,0.9999747920795016,0.9997908799093655,1.0,0.9967296297208956
0.73,0.9999852717767874,0.99978125,1.0,0.9967094253489528
0.74,0.9999932967702044,0.9997709592145017,1.0,0.9966895042158688
0.75,1.0,0.9997587802114803,1.0,0.996669488669832
