STRIP_ID,Detector,detector_side,Strip,threshold_ADC,threshold_keV
715,5,l,43,1509,6.87253
716,5,l,44,1501,7.2106
717,5,l,45,1533,6.22718
718,5,l,46,1495,7.52746
719,5,l,47,1533,9.08134
720,5,l,48,1521,6.90747
721,5,l,49,1511,8.05693
722,5,l,50,1573,6.33634
723,5,l,51,1623,7.04833
724,5,l,52,1593,6.74672
725,5,l,53,1599,8.91312
726,5,l,54,1527,7.05761
727,5,l,55,1497,6.69779
728,5,l,56,1545,6.38406
729,5,l,57,1531,6.51787
730,5,l,58,1553,6.83298
731,5,l,59,1555,7.35952
732,5,l,60,1575,6.90654
733,5,l,61,1645,7.16309
734,5,l,62,1613,7.57386
735,5,l,63,1523,8.16431
2059,5,l,64,1639,16.6958
800,6,h,0,1657,7.73975
801,6,h,1,1601,7.1908
802,6,h,2,1601,6.39738
803,6,h,3,1645,6.5249
804,6,h,4,1671,8.8934
805,6,h,5,1617,7.42884
806,6,h,6,1649,8.35347
807,6,h,7,1699,6.43185
808,6,h,8,1601,8.55845
809,6,h,9,1597,7.49841
810,6,h,10,1643,6.30181
811,6,h,11,1635,7.84164
812,6,h,12,1639,8.1622
813,6,h,13,1611,7.40678
814,6,h,14,1659,6.73811
815,6,h,15,1643,5.17158
816,6,h,16,1663,8.17133
817,6,h,17,1587,7.41549
818,6,h,18,1625,5.65968
819,6,h,19,1593,6.48035
820,6,h,20,1643,6.22382
821,6,h,21,1607,7.09823
822,6,h,22,1653,7.51131
823,6,h,23,1645,6.68414
824,6,h,24,1625,7.61334
825,6,h,25,1651,6.3892
826,6,h,26,1601,6.73417
827,6,h,27,1669,6.81933
828,6,h,28,1615,6.78029
829,6,h,29,1637,7.41539
830,6,h,30,1645,7.79588
769,6,h,33,1627,9.99494
770,6,h,34,1645,10.0972
771,6,h,35,1729,9.8663
772,6,h,36,1699,8.27057
773,6,h,37,1569,9.01934
774,6,h,38,1611,9.17672
775,6,h,39,1631,8.84441
776,6,h,40,1675,7.52766
777,6,h,41,1703,8.16963
778,6,h,42,1705,8.34288
779,6,h,43,1615,9.98747
780,6,h,44,1643,8.48876
781,6,h,45,1645,8.48139
782,6,h,46,1685,7.84668
783,6,h,47,1643,8.84207
784,6,h,48,1681,8.05811
785,6,h,49,1683,7.5778
786,6,h,50,1683,8.64345
787,6,h,51,1657,8.33958
788,6,h,52,1591,8.35339
789,6,h,53,1667,8.941
790,6,h,54,1643,6.9035
791,6,h,55,1679,7.91666
792,6,h,56,1657,8.85142
793,6,h,57,1693,9.25326
794,6,h,58,1625,8.65817
795,6,h,59,1683,8.22734
796,6,h,60,1695,8.66999
797,6,h,61,1659,8.45919
798,6,h,62,1673,7.24509
799,6,h,63,1707,7.14414
2060,6,h,64,1685,15.7226
864,6,l,0,1631,11.4359
865,6,l,1,1625,6.5916
866,6,l,2,1617,6.09377
867,6,l,3,1637,7.60709
868,6,l,4,1645,7.67624
869,6,l,5,1585,7.06853
870,6,l,6,1549,7.51834
871,6,l,7,1631,7.81864
872,6,l,8,1597,7.3627
873,6,l,9,1579,7.32821
874,6,l,10,1569,7.22693
875,6,l,11,1627,7.16793
876,6,l,12,1529,6.32409
877,6,l,13,1587,6.89745
878,6,l,14,1567,6.64991
879,6,l,15,1611,6.52896
880,6,l,16,1579,7.46503
881,6,l,17,1529,7.15328
882,6,l,18,1599,6.60368
883,6,l,19,1533,6.14086
884,6,l,20,1593,6.30468
885,6,l,21,1573,7.2853
886,6,l,22,1653,5.86781
887,6,l,23,1565,6.85105
888,6,l,24,1557,7.4819
889,6,l,25,1517,6.75094
890,6,l,26,1583,6.40536
891,6,l,27,1599,6.43565
892,6,l,28,1633,6.46854
893,6,l,29,1569,7.30128
894,6,l,30,1563,7.22851
